no_loss_index,tvb_root_index,MAC,no_loss_real_Hz,tvb_real_Hz,real_shift_Hz,no_loss_imag_Hz,tvb_imag_Hz,imag_increment_Hz,no_loss_Forward,tvb_Forward,no_loss_Backward,tvb_Backward,tracking_quality
1,45,0.973925962329615,1238.54643052215,1289.5785994789,51.03216895675,124.29194224482,80.5365435648202,-43.7553986799998,0.500111776607356,0.499916367468293,0.500029524428536,0.500120869470881,high
2,46,0.960639353308922,1245.52334629688,1296.870331241,51.3469849441201,124.18981111741,80.8175650829315,-43.3722460344785,0.482664353105741,0.496811398033803,0.476914316653785,0.493002579126774,high
3,44,0.887278881223699,1258.2216515788,1271.43048819398,13.20883661518,137.900502172882,129.984845508052,-7.91565666483001,0.0558901453565955,0.00205196681636947,0.0181648189530496,0.000676467100485503,moderate
4,47,0.98784061602289,1319.23669713957,1364.63577238292,45.3990752433501,122.076298404301,99.2059460723119,-22.8703523319891,0.501996753710504,0.500128610289904,0.498019035034932,0.500254507806512,high
5,48,0.987416687831441,1319.3022474289,1364.73477528606,45.43252785716,120.865759704282,98.4891608859785,-22.3765988183035,0.501551605339047,0.499536896200284,0.497567564883096,0.499592449781837,high
6,49,0.995764860507262,1390.59973290855,1401.73166057196,11.1319276634099,129.839115518904,120.755343772282,-9.08377174662201,0.00278818673886066,0.00104648987617996,0.00224381490218271,0.000623403812584177,high
7,50,0.993769035379372,1408.28677957762,1441.63110540862,33.3443258309999,118.472807197112,108.329487196854,-10.143320000258,0.500052004974827,0.499664322658639,0.499957531135925,0.500456311563302,high
8,51,0.99318960496955,1414.22200447403,1446.59805717147,32.3760526974399,116.628346339711,106.623497872612,-10.004848467099,0.494866901547541,0.496635952806965,0.498833636068674,0.500199525879237,high
9,52,0.997177814231037,1504.03238823443,1526.10413734451,22.07174911008,114.384484738556,107.257954954004,-7.12652978455199,0.491796830052601,0.485067717583045,0.50830419919802,0.514857537816632,high
10,53,0.996851683200845,1504.29622384693,1526.33843820155,22.04221435462,114.567569368849,107.483065009123,-7.08450435972601,0.491174813265288,0.483932240959582,0.508299967955254,0.514489111255496,high
11,54,0.998248669343008,1527.12882519542,1536.66941368393,9.54058848851014,119.767052294721,110.390011265095,-9.377041029626,0.00127445215250311,0.0029927918722464,0.000697338239439141,0.00116619096339825,high
12,55,0.998246712697659,1606.42688562248,1622.17010415876,15.74321853628,109.615485539056,101.313722721979,-8.30176281707699,0.501167359713271,0.501432068118478,0.498685888933194,0.498391301247903,high
13,56,0.998529569114035,1609.9906562647,1625.50994736659,15.5192911018901,108.059878579242,99.3647320008201,-8.6951465784219,0.501114873345791,0.501316952057978,0.497459774403926,0.497250971036378,high
14,102,0.756979228932777,1656.91598666034,1744.88900992416,87.9730232638201,0.237339268663356,-67.8489172995856,-68.086256568249,0.49854607767547,0.499302596837721,0.498567235742163,0.498836569542633,moderate
15,65,0.999610276623409,1664.01070650559,1672.65695365347,8.6462471478801,112.035063765927,102.862639569909,-9.172424196018,0.000204236060848869,0.000382691386279159,0.0013734298276825,0.00180121001008478,high
16,59,0.407173623456591,1668.82841165628,1668.86742323147,0.0390115751899884,0.304283140046213,1.17066781056032,0.866384670514107,0.363620752813752,0.459466931364543,0.403124866988884,0.317672213301213,low
17,85,0.135880604426038,1668.89927281397,1706.1723206885,37.27304787453,0.707542050417104,151.589034843938,150.881492793521,0.458834348479866,0.178364622249079,0.539991826745072,0.488744878715164,low
18,60,0.495170936406811,1668.90270021127,1668.86806797748,-0.0346322337900347,0.639926085914018,1.16827129908773,0.528345213173712,0.131609065477535,0.459613791018283,0.666345624860873,0.367259750489724,low
19,91,0.151831931940118,1668.90474515994,1723.41375160181,54.50900644187,0.574902314891043,282.426236806521,281.85133449163,0.437014713691335,0.460276719980686,0.560600877276721,0.0518400439401838,low
20,79,0.943502473372424,1670.87460416957,1695.10520172058,24.2305975510101,3.38506414493191,-15.4371670876655,-18.8222312325974,0.371619577768552,0.382803311187035,0.393603718584754,0.403944017711241,high
21,64,0.52755291374349,1671.60381834227,1671.3001741657,-0.30364417657006,5.75916009117136,10.6683658434004,4.90920575222904,0.332092081911933,0.440799433655647,0.434100390249687,0.379609171564823,low
22,58,0.264353482708966,1671.86242971785,1668.85505654384,-3.00737317401013,6.02140032532576,1.16830149930305,-4.85309882602271,0.495289350625708,0.243037896340591,0.507421587251152,0.549599935192045,low
23,57,0.251333306910404,1671.98267662231,1668.85438179358,-3.12829482873008,4.97592214381436,1.17073121428789,-3.80519092952647,0.496077610419703,0.278792480406203,0.504083019892134,0.463306699546203,low
24,62,0.504900603482619,1675.23810675505,1671.28134339576,-3.95676335929011,10.9691892954476,10.675551227967,-0.2936380674806,0.36964634717126,0.446700688591846,0.39387094067546,0.323294321256781,low
25,81,0.955389274574322,1677.03261536071,1705.0991406578,28.06652529709,16.0114300750923,-8.94084044558825,-24.9522705206805,0.350762865368645,0.376321862056091,0.416684155522286,0.412727457827094,high
26,80,0.863954216770836,1677.36598726932,1704.80727651104,27.4412892417201,16.0542652453041,-9.47214013493888,-25.526405380243,0.502105103641672,0.479113130091078,0.505394135999911,0.56150058973895,moderate
27,74,0.458163089119992,1678.17821138784,1692.34354725057,14.16533586273,10.9166123056512,-17.5774510932156,-28.4940633988668,0.501721170697695,0.493945857441287,0.500037335616925,0.484311549573845,low
28,66,0.48061094615468,1682.25871452866,1676.15752629579,-6.10118823287007,23.286273082574,30.2571597079899,6.9708866254159,0.361105836239437,0.334016586647714,0.401521972541311,0.424567742778354,low
29,68,0.420861972613568,1683.06984144479,1676.17055839254,-6.89928305224998,21.7804140515913,30.2565515376361,8.4761374860448,0.510667686327764,0.468071426842028,0.496741711796496,0.294945744931775,low
30,69,0.577126139366194,1685.40740653034,1676.17861999572,-9.22878653461999,31.2869217498403,30.291663325498,-0.9952584243423,0.343444714613334,0.422256891900233,0.418812449732207,0.364013147286957,low
31,63,0.46504122908532,1685.7160524647,1671.28664902512,-14.42940343958,31.1713961834092,10.6686835815187,-20.5027126018905,0.544384060289837,0.257231118690439,0.455523453652687,0.558230885701954,low
32,96,0.893047843887509,1691.83914239452,1728.55918037752,36.7200379830001,39.4675740764821,1.16385704986762,-38.3037170266145,0.508411247125418,0.509406230927356,0.514957797759405,0.52347761185115,moderate
33,97,0.882063018423048,1692.06346886954,1730.95909298907,38.8956241195301,40.4572114052231,2.56298677437297,-37.8942246308501,0.341246654834086,0.387054923162954,0.420869568716255,0.418825972251512,moderate
34,70,0.527968705324279,1696.45800580698,1683.42036765867,-13.03763814831,51.4543029113664,60.4510569072912,8.99675399592481,0.313959233284987,0.152446560822341,0.441399834876072,0.49390416102757,low
35,67,0.497576244830916,1696.70350865522,1676.16410484782,-20.5394038074,51.1986627614964,30.2912782261063,-20.9073845353901,0.632392580900756,0.256919023455852,0.369210644539402,0.530460173500327,low
36,61,0.563088349121937,1703.89519226423,1671.26683505172,-32.6283572125101,60.2005535206131,10.675337598515,-49.5252159220981,0.429350690691355,0.258940258985924,0.60794281250401,0.490493510065259,low
37,72,0.51233788045055,1704.56224746431,1683.4470397926,-21.1152076717101,60.5565024897901,60.4594461608182,-0.0970563289718953,0.327891211254782,0.207863025587329,0.450610819760019,0.503595158204625,low
38,75,0.65993784835405,1711.31713327294,1693.34120492598,-17.97592834696,89.4274304531116,101.197024056635,11.7695936035234,0.333833567124484,0.0610681909072908,0.663371702744909,0.437000610265969,low
39,77,0.6876079229941,1711.53061649505,1693.35736071077,-18.1732557842799,89.3772021308924,101.196268852008,11.8190667211156,0.408516486547179,0.0448193994284897,0.484464305717319,0.404569635985879,low
40,78,0.565877498500301,1713.29469971454,1693.36836843944,-19.9263312751,84.668328783489,101.18789296211,16.519564178621,0.395580395854642,0.0668758998845867,0.512528266084751,0.361540958650555,low
41,76,0.506466635916919,1713.6680285759,1693.35244136914,-20.31558720676,85.1126780977825,101.188943969359,16.0762658715765,0.182877764018817,0.0272642105888976,0.760663927954495,0.363239504249326,low
42,94,0.99906895128724,1714.20191700681,1726.90057735221,12.6986603454,105.242348814859,95.4289433297552,-9.8134054851038,0.503624643827692,0.504080461249496,0.496323380997401,0.495848939774735,high
