% Model:              双层结构非对称测试_仿照optic_左右手性相同_CPA_辐射_purcell_高手性低放大倍数.mph
% Version:            COMSOL 6.4.0.293
% Date:               Jun 26 2026, 17:14
% Table:              表格 62 {tbl62} - 全局计算 1 {gev1}
% freq (Hz)              Ez1/(1e-4[W]) (1)        Ez0/(1e-4[W]) (1)        Ez_1/(1e-4[W]) (1)       Ef1/(1e-4[W]) (1)        Ef0/(1e-4[W]) (1)        Ef_1/(1e-4[W]) (1)
2552.5                   0.22552384838582296      0.7060859312892531       0.8321324082155505       0.13101587351705923      0.7483315543938291       0.11651076955163174
2553.5                   0.2273116909757834       0.7059601339961595       0.8247591088238929       0.13024136378755208      0.7438362665318534       0.11655455595467673
2554.5                   0.22921018661126807      0.705788325477039        0.8174133299427612       0.1294412206971446       0.7393198761794463       0.11659646866934138
2555.5                   0.23122965314903618      0.7055682382096058       0.8100936722453581       0.1286173830916495       0.7347788117038322       0.11663627797074895
2556.5                   0.23338150681077505      0.7052973865946387       0.8027986427522257       0.1277722464345145       0.7302092328553441       0.11667372975278706
2557.5                   0.2356784051563869       0.7049730424410147       0.795526642895971        0.12690874381427736      0.7256070009814036       0.11670854291364056
2558.5                   0.23813441205197436      0.704592207060735        0.788275954860786        0.126030441762021        0.7209676453260675       0.1167404063911245
2559.5                   0.24076518855702503      0.7041515794174951       0.7810447259046361       0.1251416538390414       0.7162863248074673       0.11676897579259364
2560.5                   0.24358821445486867      0.7036475196759839       0.7738309503128209       0.1242475756105524       0.7115577845531404       0.11679386955473237
2561.5                   0.24662304613574704      0.7030760073657473       0.7666324485614463       0.12335444543812076      0.7067763063418443       0.11681466455557458
2562.5                   0.24989161775921176      0.7024325932250113       0.7594468431838863       0.12246973654497885      0.7019356519413211       0.11683089108735498
2563.5                   0.25341859413258294      0.7017123435961183       0.7522715307255005       0.12160238709146051      0.6970289981351969       0.11684202708058433
2564.5                   0.2572317856255763       0.7009097760184548       0.7451036490417051       0.1207630766180395       0.6920488619975483       0.11684749144769453
2565.5                   0.2613626378002848       0.7000187843676532       0.7379400390289103       0.11996455926533868      0.6869870146803654       0.11684663638847952
2566.5                   0.26584681140495064      0.6990325515478879       0.7307771996732111       0.11922206679770285      0.681834381633122        0.11683873846617332
2567.5                   0.27072487213653557      0.6979434472853168       0.7236112350453073       0.11855379780424213      0.6765809267132233       0.11682298822283596
2568.5                   0.2760431143556694       0.6967429080319281       0.7164377915424168       0.11798151376655906      0.6712155171367111       0.11679847805151358
